timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,position,geolocation
2015-03-09T17:35:00+00:00,0013a20040b5b318,1,502,14.8,14.8,14.8,2.8,2.8,2.8,51.0,51.0,51.0,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20150309173500,,"-37.8146097, 144.9790177"
2015-03-09T17:40:00+00:00,0013a20040b31571,1,510,15.8,15.8,15.8,1.4,1.4,1.4,49.2,49.2,49.2,ENV,-37.8197121,144.9413253,2.74,Docklands Library,510-20150309174000,,"-37.8197121, 144.9413253"
2015-03-09T18:10:00+00:00,0013a20040b31571,1,510,15.8,15.8,15.8,1.3,1.3,1.3,48.8,48.8,48.8,ENV,-37.8197121,144.9413253,2.74,Docklands Library,510-20150309181000,,"-37.8197121, 144.9413253"
2015-03-09T18:35:00+00:00,0013a20040b315ec,1,501,14.5,14.5,14.5,1.1,1.1,1.1,56.7,56.7,56.7,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20150309183500,,"-37.8148084, 144.980999"
2015-03-09T19:10:00+00:00,0013a20040b31571,1,510,15.5,15.5,15.5,1.3,1.3,1.3,48.0,48.0,48.0,ENV,-37.8197121,144.9413253,2.74,Docklands Library,510-20150309191000,,"-37.8197121, 144.9413253"
2015-03-09T19:25:00+00:00,0013a20040b31583,1,509,16.1,16.1,16.1,2.1,2.1,2.1,53.5,53.5,53.5,ENV,-37.8199043,144.9404851,0.03,Docklands Library,509-20150309192500,,"-37.8199043, 144.9404851"
2015-03-09T19:35:00+00:00,0013a20040b31571,1,510,15.5,15.5,15.5,1.3,1.3,1.3,47.7,47.7,47.7,ENV,-37.8197121,144.9413253,2.74,Docklands Library,510-20150309193500,,"-37.8197121, 144.9413253"
2015-03-10T01:45:00+00:00,0013a20040b315ec,1,501,25.5,25.5,25.5,96.6,96.6,96.6,38.2,38.2,38.2,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20150310014500,,"-37.8148084, 144.980999"
2015-03-10T05:25:00+00:00,0013a20040b5b318,1,502,21.9,21.9,21.9,96.5,96.5,96.5,38.0,38.0,38.0,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20150310052500,,"-37.8146097, 144.9790177"
2015-03-10T07:05:00+00:00,0013a20040b516f6,1,507,20.0,20.0,20.0,90.4,90.4,90.4,42.5,42.5,42.5,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20150310070500,,"-37.8149218, 144.9822582"
2015-03-11T00:15:00+00:00,0013a20040b31571,1,510,29.7,29.7,29.7,97.2,97.2,97.2,32.7,32.7,32.7,ENV,-37.8197121,144.9413253,2.74,Docklands Library,510-20150311001500,,"-37.8197121, 144.9413253"
2015-03-09T20:00:00+00:00,0013a20040b5b337,1,511,15.8,15.8,15.8,26.8,26.8,26.8,46.2,46.2,46.2,ENV,-37.8195002,144.9418888,3.75,Docklands Library,511-20150309200000,,"-37.8195002, 144.9418888"
2015-03-09T21:40:00+00:00,0013a20040b3155c,1,506,16.8,16.8,16.8,91.4,91.4,91.4,43.9,43.9,43.9,ENV,-37.8203537,144.9404816,0.71,Docklands Library,506-20150309214000,,"-37.8203537, 144.9404816"
2015-03-09T23:15:00+00:00,0013a20040b4b755,1,508,19.4,19.4,19.4,93.7,93.7,93.7,37.3,37.3,37.3,ENV,-37.8134078,144.9794923,30.1,Fitzroy Gardens,508-20150309231500,,"-37.8134078, 144.9794923"
2015-03-10T03:55:00+00:00,0013a20040b31571,1,510,26.5,26.5,26.5,97.8,97.8,97.8,36.8,36.8,36.8,ENV,-37.8197121,144.9413253,2.74,Docklands Library,510-20150310035500,,"-37.8197121, 144.9413253"
2015-03-09T20:20:00+00:00,0013a20040b3155c,1,506,15.8,15.8,15.8,51.6,51.6,51.6,44.7,44.7,44.7,ENV,-37.8203537,144.9404816,0.71,Docklands Library,506-20150309202000,,"-37.8203537, 144.9404816"
2015-03-10T02:25:00+00:00,0013a20040b516ed,1,505,22.3,22.3,22.3,94.7,94.7,94.7,42.0,42.0,42.0,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20150310022500,,"-37.813073, 144.9804061"
2015-03-10T22:05:00+00:00,0013a20040b31571,1,510,14.2,14.2,14.2,92.5,92.5,92.5,50.7,50.7,50.7,ENV,-37.8197121,144.9413253,2.74,Docklands Library,510-20150310220500,,"-37.8197121, 144.9413253"
2015-03-11T01:05:00+00:00,0013a20040b4b755,1,508,24.8,24.8,24.8,96.4,96.4,96.4,28.1,28.1,28.1,ENV,-37.8134078,144.9794923,30.1,Fitzroy Gardens,508-20150311010500,,"-37.8134078, 144.9794923"
