timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,position,geolocation
2014-12-18T01:45:00+00:00,0013a20040b516ed,1,505,23.2,23.2,23.2,93.6,93.6,93.6,29.7,29.7,29.7,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141218014500,,"-37.813073, 144.9804061"
2014-12-18T02:05:00+00:00,0013a20040b4b755,1,508,22.9,22.9,22.9,95.1,95.1,95.1,20.4,20.4,20.4,ENV,-37.8134078,144.9794923,30.1,Fitzroy Gardens,508-20141218020500,,"-37.8134078, 144.9794923"
2014-12-18T02:35:00+00:00,0013a20040b5b337,1,511,24.2,24.2,24.2,98.0,98.0,98.0,22.9,22.9,22.9,ENV,-37.8195002,144.9418888,,Docklands Library,511-20141218023500,,"-37.8195002, 144.9418888"
2014-12-18T02:35:00+00:00,0013a20040b516ed,1,505,23.9,23.9,23.9,94.4,94.4,94.4,26.1,26.1,26.1,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141218023500,,"-37.813073, 144.9804061"
2014-12-18T03:10:00+00:00,0013a20040b516f6,1,507,24.2,24.2,24.2,96.4,96.4,96.4,20.7,20.7,20.7,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141218031000,,"-37.8149218, 144.9822582"
2014-12-18T03:30:00+00:00,0013a20040b31571,1,510,25.2,25.2,25.2,97.5,97.5,97.5,27.2,27.2,27.2,ENV,-37.8197121,144.9413253,,Docklands Library,510-20141218033000,,"-37.8197121, 144.9413253"
2014-12-18T03:40:00+00:00,0013a20040b315ec,1,501,22.9,22.9,22.9,94.7,94.7,94.7,23.5,23.5,23.5,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141218034000,,"-37.8148084, 144.980999"
2014-12-18T03:45:00+00:00,0013a20040b5b318,1,502,22.6,22.6,22.6,94.2,94.2,94.2,23.1,23.1,23.1,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141218034500,,"-37.8146097, 144.9790177"
2014-12-18T04:00:00+00:00,0013a20040b31583,1,509,22.3,22.3,22.3,95.4,95.4,95.4,34.1,34.1,34.1,ENV,-37.8199043,144.9404851,,Docklands Library,509-20141218040000,,"-37.8199043, 144.9404851"
2014-12-18T04:15:00+00:00,0013a20040b31571,1,510,21.0,21.0,21.0,92.9,92.9,92.9,36.2,36.2,36.2,ENV,-37.8197121,144.9413253,,Docklands Library,510-20141218041500,,"-37.8197121, 144.9413253"
2014-12-18T04:25:00+00:00,0013a20040b31571,1,510,18.1,18.1,18.1,91.4,91.4,91.4,44.0,44.0,44.0,ENV,-37.8197121,144.9413253,,Docklands Library,510-20141218042500,,"-37.8197121, 144.9413253"
2014-12-18T04:25:00+00:00,0013a20040b5b337,1,511,16.8,16.8,16.8,93.5,93.5,93.5,47.2,47.2,47.2,ENV,-37.8195002,144.9418888,,Docklands Library,511-20141218042500,,"-37.8195002, 144.9418888"
2014-12-18T04:30:00+00:00,0013a20040b5b318,1,502,15.8,15.8,15.8,87.8,87.8,87.8,45.9,45.9,45.9,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141218043000,,"-37.8146097, 144.9790177"
2014-12-18T04:50:00+00:00,0013a20040b516ed,1,505,17.1,17.1,17.1,87.2,87.2,87.2,54.4,54.4,54.4,ENV,-37.813073,144.9804061,29.91,Fitzroy Gardens,505-20141218045000,,"-37.813073, 144.9804061"
2014-12-18T04:55:00+00:00,0013a20040b315ec,1,501,15.8,15.8,15.8,92.4,92.4,92.4,49.9,49.9,49.9,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141218045500,,"-37.8148084, 144.980999"
2014-12-18T05:05:00+00:00,0013a20040b315ec,1,501,15.5,15.5,15.5,90.7,90.7,90.7,48.9,48.9,48.9,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141218050500,,"-37.8148084, 144.980999"
2014-12-18T05:15:00+00:00,0013a20040b315ec,1,501,14.8,14.8,14.8,86.9,86.9,86.9,51.0,51.0,51.0,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141218051500,,"-37.8148084, 144.980999"
2014-12-18T05:20:00+00:00,0013a20040b4b755,1,508,15.2,15.2,15.2,80.4,80.4,80.4,46.7,46.7,46.7,ENV,-37.8134078,144.9794923,30.1,Fitzroy Gardens,508-20141218052000,,"-37.8134078, 144.9794923"
2014-12-18T05:35:00+00:00,0013a20040b31571,1,510,13.5,13.5,13.5,93.4,93.4,93.4,57.9,57.9,57.9,ENV,-37.8197121,144.9413253,,Docklands Library,510-20141218053500,,"-37.8197121, 144.9413253"
2014-12-18T05:35:00+00:00,0013a20040b315ec,1,501,13.2,13.2,13.2,91.6,91.6,91.6,56.2,56.2,56.2,ENV,-37.8148084,144.980999,29.96,Fitzroy Gardens,501-20141218053500,,"-37.8148084, 144.980999"
2014-12-18T05:40:00+00:00,0013a20040b516f6,1,507,13.5,13.5,13.5,86.9,86.9,86.9,58.4,58.4,58.4,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141218054000,,"-37.8149218, 144.9822582"
